商品コード,商品名,規格,売上単重
0010000010,銅管　Ｈ,,0
0010100050,銅管　Ｈ,40X1.8X2000,3.864
0010106000,銅管　Ｈ,6X2.0X205,0.046
0010109505,銅管　Ｈ,9.52X1.0X2500,0.599
0010109510,銅管　Ｈ,9.52X2.0X4000,1.693
0010112710,銅管　Ｈ,12.7X0.89X4000,1.181
0010115810,銅管　Ｈ,15.88X1.0X1000,0.418
0010119010,銅管　Ｈ,19X4.0X4000,6.744
0010119510,銅管　Ｈ,19.05X1.07X4000,2.162
0010120010,銅管　Ｈ,20X1.5X4000,3.119
0010125410,銅管　Ｈ,25.4X0.8X4000,2.212
0010125420,銅管　Ｈ,25.4X1.2X4000,3.264
0010128505,銅管　Ｈ,28.58X1.2X4000,3.693
0010128510,銅管　Ｈ,28.58X1.4X4000,4.277
0010128520,銅管　Ｈ,28.58X1.5X4000,4.566
0010131710,銅管　Ｈ,31.75X0.7X4000,2.443
0010131720,銅管　Ｈ,31.75X1.5X4000,5.1
0010134910,銅管　Ｈ,34.92X1.5X4000,5.635
0010138105,銅管　Ｈ,38.1X1.2X2500,3.111
0010138110,銅管　Ｈ,38.1X1.5X4000,6.171
0010144410,銅管　Ｈ,44.45X1.5X4000,7.241
0010144420,銅管　Ｈ,44.45X2.0X4000,9.543
0010145010,銅管　Ｈ,45X2.0X4000,9.666
0010150810,銅管　Ｈ,50.8X2.0X4000,10.97
0010153910,銅管　Ｈ,53.98X2.5X4000,14.466
0010163510,銅管　Ｈ,63.5X1.5X4000,10.453
0010176210,銅管　Ｈ,76.2X2.0X4000,16.68
0010188910,銅管　Ｈ,88.9X2.0X4000,19.535
0010279303,銅管　Ｈ（ＮＷ）,79.38X1.5X4000,13.131
0010279305,銅管　Ｈ（ＮＷ）,79.38X1.83X4000,15.951
0010279310,銅管　Ｈ（ＮＷ）,79.38X2.29X4000,19.843
0010291010,銅管　Ｈ（ＮＷ）,104.78X2.79X4000,31.984
0010291020,銅管　Ｈ（ＮＷ）,210X4.5X5000,129.927
0011000010,銅管　Ｈ（製作品）,,0
00110AY001,銅管　Ｈ,,0
00110CK100,銅管H材（切断品）,6X2.0X205L,0
00110DA000,銅管　Ｈ,,0
00110DA081,銅管　Ｈ,8.0X0.7X5000,0.718
00110DA091,銅管　Ｈ,IN9.65X0.7X5000,1.018
00110DA121,銅管　Ｈ,12.7X0.8X5000,1.338
00110DA221,銅管　Ｈ,22.22X0.81X5000,2.437
00110DA411,銅管　Ｈ,41.28X1.83X5000,10.143
00110DA551,銅管　Ｈ,55X3.0X5000,21.918
00110EW000,銅管　Ｈ,,0
00110FS000,銅管　Ｈ,32X2.0X,0
00110FT001,銅管　Ｈ,,1.505
00110GK001,銅管　Ｈ,,0
00110GK195,銅管　Ｈ,19.05X1.0X5000,2.536
00110GK222,銅管　Ｈ,22.22X1.1X5000,3.264
00110GK224,銅管　Ｈ,22.22X1.4X5000,4.095
00110GK252,銅管　Ｈ,25.4X1.15X5000,3.918
00110GK254,銅管　Ｈ,25.4X1.4X5000,4.721
00110GK256,銅管　Ｈ,25.4X1.6X5000,5.35
00110GK258,銅管　Ｈ,25.4X2.0X5000,6.575
00110GK282,銅管　Ｈ,28.58X1.2X5000,4.616
00110GK284,銅管　Ｈ,28.58X1.4X5000,5.346
00110GK312,銅管　Ｈ,31.75X1.1X5000,4.737
00110GK314,銅管　Ｈ,31.75X1.4X5000,5.97
